,election_district,registered_voters,voted_in_2016,ratio_voted
376,27049,854,464.0,0.5433255269320844
377,27050,943,462.0,0.4899257688229056
378,27051,1125,750.0,0.6666666666666666
379,27052,1070,572.0,0.5345794392523364
380,27053,1213,482.0,0.3973619126133553
381,27054,1188,535.0,0.4503367003367003
382,27055,640,419.0,0.6546875
383,27056,713,410.0,0.5750350631136045
384,27057,585,381.0,0.6512820512820513
385,27058,4,0.0,0.0
386,27059,1002,547.0,0.5459081836327345
387,27060,861,410.0,0.47619047619047616
388,27061,1036,510.0,0.4922779922779923
389,27062,1079,512.0,0.47451343836886006
390,27063,1039,521.0,0.5014436958614052
391,27064,1097,553.0,0.504102096627165
392,27065,968,526.0,0.5433884297520661
393,27066,1110,549.0,0.4945945945945946
394,27067,1041,543.0,0.521613832853026
395,27068,1091,606.0,0.5554537121906508
396,27079,846,408.0,0.48226950354609927
397,27080,826,442.0,0.5351089588377724
398,27081,1121,584.0,0.5209634255129348
399,27082,728,364.0,0.5
400,27083,1112,640.0,0.5755395683453237
401,27084,932,536.0,0.575107296137339
402,27085,836,403.0,0.4820574162679426
403,27086,981,473.0,0.48216106014271154
404,27087,987,525.0,0.5319148936170213
405,27088,610,327.0,0.5360655737704918
406,27089,601,330.0,0.5490848585690515
407,28001,774,425.0,0.5490956072351422
408,28002,515,303.0,0.5883495145631068
409,28003,1032,651.0,0.6308139534883721
410,28004,521,316.0,0.6065259117082533
411,28005,484,260.0,0.5371900826446281
412,28006,1011,565.0,0.5588526211671613
413,28007,508,293.0,0.5767716535433071
414,28008,262,139.0,0.5305343511450382
415,28009,731,443.0,0.6060191518467852
416,28010,1006,556.0,0.5526838966202783
417,28011,942,529.0,0.5615711252653928
418,28012,680,460.0,0.6764705882352942
419,28013,36,24.0,0.6666666666666666
420,28014,1100,523.0,0.47545454545454546
421,28015,1110,649.0,0.5846846846846847
422,28016,1116,737.0,0.660394265232975
423,28017,1051,677.0,0.6441484300666033
424,28018,862,561.0,0.6508120649651972
425,28019,1003,627.0,0.6251246261216351
426,28020,982,643.0,0.654786150712831
427,28021,823,557.0,0.6767922235722965
428,28022,1127,815.0,0.7231588287488908
429,28023,1104,735.0,0.6657608695652174
430,28024,828,540.0,0.6521739130434783
431,28025,1235,774.0,0.6267206477732794
432,28026,603,357.0,0.5920398009950248
433,28027,634,388.0,0.61198738170347
434,28028,1048,723.0,0.6898854961832062
435,28029,930,654.0,0.7032258064516129
436,28030,856,581.0,0.6787383177570093
437,28031,1162,801.0,0.689328743545611
438,28032,610,430.0,0.7049180327868853
439,28033,28,18.0,0.6428571428571429
440,28034,125,87.0,0.696
441,28035,1173,757.0,0.6453537936913896
442,28036,1198,770.0,0.6427378964941569
443,28037,992,610.0,0.6149193548387096
444,28038,1046,626.0,0.5984703632887189
445,28039,635,411.0,0.647244094488189
446,28040,1005,638.0,0.6348258706467662
447,28041,963,546.0,0.5669781931464174
448,28042,1241,740.0,0.5962933118452861
449,28043,993,617.0,0.62134944612286
450,28044,691,390.0,0.5643994211287988
451,28045,849,572.0,0.673733804475854
452,28046,864,490.0,0.5671296296296297
453,28047,1173,790.0,0.6734867860187553
454,28048,1025,737.0,0.7190243902439024
455,28049,864,490.0,0.5671296296296297
456,28050,1275,656.0,0.5145098039215686
457,28051,1233,623.0,0.505271695052717
458,28052,757,268.0,0.35402906208718626
459,28053,925,511.0,0.5524324324324325
460,28054,869,436.0,0.5017261219792866
461,28055,592,274.0,0.46283783783783783
462,28056,1157,658.0,0.5687121866897148
463,28057,819,428.0,0.5225885225885226
464,28058,770,453.0,0.5883116883116883
465,28059,151,67.0,0.44370860927152317
466,28060,626,378.0,0.6038338658146964
467,28061,1016,566.0,0.5570866141732284
468,28062,785,434.0,0.5528662420382165
469,28063,1007,584.0,0.579940417080437
470,28064,812,468.0,0.5763546798029556
471,28065,1057,629.0,0.5950804162724692
472,28066,1059,694.0,0.6553352219074599
473,28067,1110,688.0,0.6198198198198198
474,28068,1148,751.0,0.6541811846689896
475,28069,1144,741.0,0.6477272727272727
476,28070,746,459.0,0.6152815013404825
477,28071,1056,687.0,0.6505681818181818
478,28072,1001,599.0,0.5984015984015985
479,28073,1077,594.0,0.5515320334261838
480,28074,901,557.0,0.6182019977802442
481,28075,1080,676.0,0.6259259259259259
482,28076,1106,739.0,0.6681735985533453
483,28077,1152,701.0,0.6085069444444444
484,28078,938,444.0,0.47334754797441364
485,28080,402,275.0,0.6840796019900498
486,28081,900,605.0,0.6722222222222223
487,28082,829,544.0,0.6562123039806996
488,28083,1105,616.0,0.5574660633484163
489,28084,616,376.0,0.6103896103896104
490,28085,368,123.0,0.3342391304347826
491,28086,826,468.0,0.5665859564164649
492,28087,898,558.0,0.621380846325167
493,28088,676,428.0,0.6331360946745562
494,28089,639,355.0,0.5555555555555556
495,29001,800,456.0,0.57
496,29002,1065,599.0,0.5624413145539906
497,29003,1054,603.0,0.5721062618595826
498,29004,685,358.0,0.5226277372262774
499,29005,640,281.0,0.4390625
500,29006,905,584.0,0.6453038674033149
501,29007,108,64.0,0.5925925925925926
502,29008,614,371.0,0.6042345276872965
503,29009,1122,594.0,0.5294117647058824
504,29010,1067,564.0,0.528584817244611
505,29011,1037,592.0,0.570877531340405
506,29012,1253,667.0,0.5323224261771747
507,29013,1012,570.0,0.5632411067193676
508,29014,1003,510.0,0.5084745762711864
509,29015,1055,633.0,0.6
510,29016,1082,554.0,0.512014787430684
511,29017,1097,549.0,0.5004557885141294
512,29018,990,474.0,0.47878787878787876
513,29019,1012,486.0,0.48023715415019763
514,29020,937,470.0,0.5016008537886874
515,29021,729,453.0,0.6213991769547325
516,29022,932,517.0,0.5547210300429185
517,29023,1086,643.0,0.5920810313075506
518,29024,1041,679.0,0.6522574447646494
519,29025,1041,682.0,0.6551392891450528
520,29026,1184,735.0,0.620777027027027
521,29027,1097,624.0,0.568824065633546
522,29028,1153,680.0,0.5897658282740676
523,29029,1170,713.0,0.6094017094017095
524,29030,1076,656.0,0.6096654275092936
525,29031,1079,691.0,0.6404077849860983
526,29032,1149,679.0,0.5909486510008704
527,29033,1169,703.0,0.6013686911890505
528,29034,1117,678.0,0.6069829901521934
529,29035,983,542.0,0.5513733468972533
530,29036,887,459.0,0.5174746335963923
531,29037,933,493.0,0.5284030010718114
532,29038,969,562.0,0.5799793601651186
533,29039,947,538.0,0.5681098204857444
534,29040,697,403.0,0.5781922525107605
535,29041,962,553.0,0.5748440748440748
536,29042,892,554.0,0.6210762331838565
537,29043,905,540.0,0.5966850828729282
538,29044,1102,652.0,0.5916515426497277
539,29045,993,665.0,0.6696878147029205
540,29046,876,505.0,0.5764840182648402
541,29047,870,507.0,0.5827586206896552
542,29048,830,500.0,0.6024096385542169
543,29049,1058,595.0,0.5623818525519849
544,29050,1095,681.0,0.6219178082191781
545,29051,1052,682.0,0.6482889733840305
546,29052,1066,629.0,0.5900562851782364
547,29053,899,511.0,0.5684093437152391
548,29054,1024,660.0,0.64453125
549,29055,1069,657.0,0.6145930776426567
550,29056,1048,564.0,0.5381679389312977
551,29057,1060,675.0,0.6367924528301887
552,29058,1115,638.0,0.5721973094170404
553,29059,1092,685.0,0.6272893772893773
554,29060,1122,712.0,0.6345811051693404
555,29061,1108,743.0,0.6705776173285198
556,29062,1077,727.0,0.6750232126276694
557,29063,1099,688.0,0.6260236578707916
558,29064,1061,654.0,0.6163996229971724
559,29065,1072,652.0,0.6082089552238806
560,29066,1069,708.0,0.6623012160898035
561,29067,1104,689.0,0.6240942028985508
562,29068,1081,662.0,0.6123959296947271
563,29069,490,290.0,0.5918367346938775
564,29070,922,492.0,0.5336225596529284
565,29071,765,492.0,0.6431372549019608
566,29072,1119,591.0,0.5281501340482574
567,29073,689,389.0,0.5645863570391872
568,29074,1003,529.0,0.5274177467597209
569,29075,1075,648.0,0.6027906976744186
570,29076,1079,623.0,0.577386468952734
571,29077,840,518.0,0.6166666666666667
572,29078,809,482.0,0.595797280593325
573,29079,1112,672.0,0.60431654676259
574,29080,796,479.0,0.6017587939698492
575,30001,382,195.0,0.5104712041884817
576,30002,1046,579.0,0.5535372848948374
577,30003,42,23.0,0.5476190476190477
578,30004,1055,664.0,0.6293838862559241
579,30005,1077,694.0,0.6443825441039925
580,30006,1058,725.0,0.6852551984877127
581,30007,1069,733.0,0.6856875584658559
582,30008,1067,734.0,0.6879100281162137
583,30009,1049,673.0,0.6415633937082936
584,30010,1127,647.0,0.5740905057675244
585,30011,1107,646.0,0.5835591689250226
586,30012,1034,619.0,0.5986460348162476
587,30013,1145,631.0,0.5510917030567686
588,30014,1067,632.0,0.5923149015932521
589,30015,1059,642.0,0.6062322946175638
590,30016,1116,593.0,0.5313620071684588
591,30017,1123,625.0,0.5565449688334817
592,30018,1117,632.0,0.5658012533572068
593,30019,38,19.0,0.5
594,30020,655,346.0,0.5282442748091603
595,30021,1023,560.0,0.5474095796676441
596,30022,819,460.0,0.5616605616605617
597,30023,979,625.0,0.6384065372829418
598,30024,1024,606.0,0.591796875
599,30025,1008,561.0,0.5565476190476191
600,30026,1028,596.0,0.5797665369649806
601,30027,1037,585.0,0.5641272902603665
602,30028,8,3.0,0.375
603,30029,106,46.0,0.4339622641509434
604,30030,1104,505.0,0.45742753623188404
605,30031,687,349.0,0.5080058224163028
606,30032,250,127.0,0.508
607,30033,343,192.0,0.5597667638483965
608,30034,10,6.0,0.6
609,30035,26,16.0,0.6153846153846154
610,30036,670,363.0,0.5417910447761194
611,30037,952,561.0,0.5892857142857143
612,30038,982,563.0,0.5733197556008147
613,30039,1075,736.0,0.6846511627906977
614,30040,737,443.0,0.6010854816824966
615,30041,407,238.0,0.5847665847665847
616,30042,937,560.0,0.5976520811099253
617,30043,967,529.0,0.5470527404343329
618,30044,1066,599.0,0.5619136960600375
619,30045,1025,558.0,0.5443902439024391
620,30046,1153,696.0,0.603642671292281
621,30047,1139,636.0,0.5583845478489904
622,30048,1136,824.0,0.7253521126760564
623,30049,998,664.0,0.6653306613226453
624,30050,1144,757.0,0.6617132867132867
625,30051,1049,615.0,0.5862726406101049
